"","Genus.species","sumBites.cm2.min"
"1","Acanthurus nigrofuscus",1.60143743829486
"2","blenny",14.5242393238492
"3","Chlorurus sordidus",0.0928777811193557
"4","Ctenochaetus binotatus",3.13231050160393
"5","Ctenochaetus striatus",1.09967040895416
"6","Naso lituratus",0.0872385692634927
"7","Plectroglyphidodon lacrymatus",0.511593473297586
"8","Pomacentrus bankanensis",0.00579366609037622
"9","Scarus niger",0.0971044073568394
"10","unident wrasse",0.015093857831692
"11","Zebrasoma scopas",0.260563803706577
